iter	RMSE
195	839.2074309
196	839.1973777
197	839.1791686
198	839.1653762
199	839.1562192
200	839.0979912
201	839.0808259
202	839.0695877
203	839.0565041
204	839.0436279
205	839.0349221
206	839.0017606
207	838.9925532
208	838.8247271
209	838.814179
210	838.754984
211	838.7457682
212	838.7321085
213	838.7220762
214	838.7064228
215	838.6935477
216	838.6830646
217	838.6725883
218	838.6410909
219	838.632395
220	838.6197263
221	838.6116524
222	838.5983538
223	838.5790219
224	838.5607819
225	838.5501406
226	838.3943314
227	838.3857585
228	838.3769079
229	838.3596335
230	838.3275734
231	838.3178656
232	838.3077356
233	838.2957619
234	838.2533553
235	838.1915028
236	838.1812385
237	838.1726015
238	838.1638518
239	838.1558742
240	838.144417
241	838.1355041
242	838.1289529
243	838.121428
244	838.095408
245	838.0852312
246	838.078473
247	838.0697582
248	838.0610785
249	838.0507428
250	838.0399267
251	838.0231583
252	837.9856038
253	837.9650749
254	837.957025
255	837.9469806
256	837.9361739
257	837.924756
258	837.9102325
259	837.8973472
260	837.8891312
261	837.8791429
262	837.8683884
263	837.8563055
264	837.8467555
265	837.8346212
266	837.8238288
267	837.8151181
268	837.8070959
269	837.7986041
270	837.7891224
271	837.7794664
272	837.753254
273	837.7422996
274	837.7298049
275	837.722124
276	837.7124562
277	837.7004848
278	837.6917724
279	837.6834535
280	837.6751605
281	837.6641809
282	837.6551956
283	837.64454
284	837.6354503
285	837.6212516
286	837.6119102
287	837.603313
288	837.5933172
289	837.5855763
290	837.4898925
291	837.4812969
292	837.4739545
293	837.4637681
294	837.4561575
295	837.4292847
296	837.42103
297	837.3956124
298	837.3822934
299	837.3737802
300	837.3657316
301	837.3565144
302	837.3482122
303	837.3369044
304	837.3266635
305	837.3209525
306	837.3134231
307	837.3011088
308	837.29108
309	837.17012
310	837.1627736
311	837.1518988
312	837.1445517
313	837.1351008
314	837.1244234
315	837.1158947
316	837.1082996
317	837.0989879
318	837.0866479
319	837.0597377
320	837.0499783
321	837.0391887
322	837.0286364
323	837.0224369
324	837.013643
325	837.0069459
326	837.0007165
327	836.993381
328	836.9811555
329	836.9646222
330	836.955268
331	836.9462899
332	836.9135273
333	836.9031481
334	836.8921477
335	836.8868575
336	836.8751366
337	836.8515918
338	836.8152238
339	836.8053888
340	836.7810289
341	836.7481189
342	836.740804
343	836.7273242
344	836.7171641
345	836.7069912
346	836.6064062
347	836.5980108
348	836.5834735
349	836.5682351
350	836.5612442
351	836.5516676
352	836.544884
353	836.5366933
354	836.5261671
355	836.5050135
356	836.4952154
357	836.4861753
358	836.4785769
359	836.4700819
360	836.4598104
361	836.4486246
362	836.4386332
363	836.4238878
364	836.4132736
365	836.4066669
366	836.3989125
367	836.3885422
368	836.2813
369	836.272251
370	836.2616682
371	836.2537788
372	836.2438426
373	836.2298288
374	836.224195
375	836.2182565
376	836.2087823
377	836.1992282
378	836.1918866
379	836.1849689
380	836.1632436
381	836.1532629
382	836.1431093
383	836.1352626
384	836.1175245
385	836.109279
386	836.0920429
387	836.0840762
388	836.0753806
389	836.0664363
390	836.0598369
391	836.0504819
392	836.0436247
393	836.0358918
394	836.0162077
395	836.007992
396	836.003076
397	835.9944204
398	835.9848202
399	835.9782994
400	835.9710924
401	835.9648
402	835.9595515
403	835.9516369
404	835.9440795
405	835.9373772
406	835.9061054
407	835.8948349
408	835.8872271
409	835.8821089
410	835.8764112
411	835.8677405
412	835.8562502
413	835.8453971
414	835.8350355
415	835.827258
416	835.8215108
417	835.8120018
418	835.8012827
419	835.7906618
420	835.7801976
421	835.7702003
422	835.7584941
423	835.7507647
424	835.7411188
425	835.733024
426	835.720378
427	835.7129484
428	835.7043153
429	835.6958163
430	835.6742737
431	835.6669506
432	835.6579765
433	835.6478903
434	835.5368149
435	835.5268159
436	835.5183054
437	835.5124133
438	835.5054734
439	835.4943146
440	835.4859228
441	835.4749957
442	835.4656396
443	835.4471704
444	835.4393625
445	835.4288509
446	835.4225341
447	835.4161679
448	835.403786
449	835.3950511
450	835.385781
451	835.375381
452	835.3680083
453	835.3513654
454	835.3416362
455	835.3341654
456	835.3245334
457	835.319873
458	835.311418
459	835.3018904
460	835.2966439
461	835.2875187
462	835.2811603
463	835.2739638
464	835.2641804
465	835.2569368
466	835.248458
467	835.2403755
468	835.2326221
469	835.2249818
470	835.2158543
471	835.207125
472	835.2016785
473	835.1920405
474	835.1823886
475	835.1768037
476	835.171931
477	835.1552572
478	835.1477559
479	835.1374948
480	835.1296407
481	835.1201235
482	835.1126146
483	835.1050069
484	835.0966562
485	835.0900141
486	835.0847931
487	835.0760542
488	835.0664235
489	835.0578996
490	835.0498841
491	835.0407041
492	835.033501
493	835.0209113
494	835.0142872
495	835.0083156
496	834.9933688
497	834.9830837
498	834.9727751
499	834.9642953
500	834.955039
501	834.9468781
502	834.9401103
503	834.9323206
504	834.9261804
505	834.9141191
506	834.9077373
507	834.9023556
508	834.8951922
509	834.8873706
510	834.88025
511	834.8712406
512	834.8640396
513	834.8543643
514	834.845063
515	834.8362189
516	834.8258122
517	834.8155301
518	834.8095866
519	834.7894476
520	834.782129
521	834.7735286
522	834.7659848
523	834.7585143
524	834.7519217
525	834.7462193
526	834.7382681
527	834.7322256
528	834.7268479
529	834.7198841
530	834.713178
531	834.7067302
532	834.699566
533	834.6891605
534	834.6797838
535	834.6715117
536	834.6658748
537	834.6560715
538	834.6481542
539	834.6432887
540	834.6348179
541	834.627743
542	834.6214395
543	834.6143957
544	834.607722
545	834.6006723
546	834.5943373
547	834.5845503
548	834.5791928
549	834.5719786
550	834.565631
551	834.5562996
552	834.5481535
553	834.5421912
554	834.5329978
555	834.524919
556	834.5170843
557	834.5086296
558	834.5007388
559	834.4963248
560	834.490166
561	834.4839126
562	834.4784127
563	834.470258
564	834.4623674
565	834.4525844
566	834.4452883
567	834.4393532
568	834.4328326
569	834.4264769
570	834.4169209
571	834.4105354
572	834.401729
573	834.3942583
574	834.3854073
575	834.3783577
576	834.3697059
577	834.3630546
578	834.3581025
579	834.3514727
580	834.3438357
581	834.3373882
582	834.3283202
583	834.3213271
584	834.3138822
585	834.3050991
586	834.2966988
587	834.2897031
588	834.2827704
589	834.273776
590	834.2674653
591	834.2595374
592	834.2495172
593	834.244261
594	834.2204933
595	834.2050111
596	834.1965962
597	834.1864663
598	834.1816405
599	834.1737811
600	834.1668309
601	834.1587985
602	834.1507768
603	834.1439468
604	834.1333978
605	834.1277774
606	834.1189643
607	834.1102352
608	834.1020514
609	834.0943602
610	834.0866375
611	834.0777675
612	834.069539
613	834.0350123
614	834.0290697
615	834.0197249
616	834.01366
617	834.0065848
618	833.9981524
619	833.98898
620	833.9816438
621	833.9631879
622	833.9560099
623	833.9488889
624	833.9417473
625	833.9313865
626	833.9212106
627	833.914234
628	833.9087837
629	833.9012464
630	833.8934653
631	833.8865308
632	833.8817298
633	833.8719705
634	833.8624579
635	833.8550965
636	833.8477237
637	833.8305672
638	833.8218817
639	833.8146129
640	833.8089923
641	833.8032557
642	833.7966733
643	833.7829189
644	833.7745827
645	833.7659507
646	833.7593357
647	833.7506584
648	833.7419428
649	833.7339722
650	833.7138754
651	833.707383
652	833.7008332
653	833.6948844
654	833.6865365
655	833.6765192
656	833.6716282
657	833.6625381
658	833.6546688
659	833.6457949
660	833.6391875
661	833.6295655
662	833.6201112
663	833.6139235
664	833.5974746
665	833.5911789
666	833.5846721
667	833.5774419
668	833.5686834
669	833.5593264
670	833.5518665
671	833.5436157
672	833.5361696
673	833.5287848
674	833.5216262
675	833.5053987
676	833.4954901
677	833.4878898
678	833.4809509
679	833.4739763
680	833.468583
681	833.4622968
682	833.4536006
683	833.4479571
684	833.4395125
685	833.4326931
686	833.4276956
687	833.4196005
688	833.4104401
689	833.4045472
690	833.3967906
691	833.3883851
692	833.3825674
693	833.3713227
694	833.3646079
695	833.3587381
696	833.3521796
697	833.3466802
698	833.3378413
699	833.3288915
700	833.3219196
701	833.3112993
702	833.3039689
703	833.2996162
704	833.2905444
705	833.2846637
706	833.2793802
707	833.2741557
708	833.2666512
709	833.2606335
710	833.250932
711	833.2442436
712	833.2374555
713	833.2301047
714	833.2229743
715	833.2162205
716	833.2093523
717	833.2017431
718	833.1931235
719	833.1860932
720	833.1802934
721	833.172796
722	833.1669854
723	833.1568053
724	833.1475059
725	833.140003
726	833.1331195
727	833.1268728
728	833.1189738
729	833.1078166
730	833.1010326
731	833.0925807
732	833.0848008
733	833.0775499
734	833.0713976
735	833.065537
736	833.0599146
737	833.0520006
738	833.0463385
739	833.0394863
740	833.0308282
741	833.0241651
742	833.0186075
743	833.0126171
744	833.0069212
745	832.998471
746	832.9891895
747	832.9830493
748	832.9782172
749	832.9731025
750	832.9663031
751	832.9598783
752	832.9513048
753	832.9408101
754	832.9322291
755	832.9250532
756	832.9188644
757	832.9109013
758	832.90186
759	832.8945592
760	832.8882768
761	832.8803284
762	832.8707811
763	832.8642808
764	832.8583541
765	832.8513536
766	832.8438597
767	832.838787
768	832.8295234
769	832.8229094
770	832.8197059
771	832.8114313
772	832.8033258
773	832.7983163
774	832.791705
775	832.786146
776	832.7781516
777	832.7709414
778	832.7601804
779	832.7549875
780	832.7491636
781	832.73947
782	832.7319945
783	832.7239534
784	832.714515
785	832.7065523
786	832.6956221
787	832.6896023
788	832.6701941
789	832.6641714
790	832.6573825
791	832.6522519
792	832.6455528
793	832.640126
794	832.6323615
795	832.6214629
796	832.6152926
797	832.610324
798	832.6020223
799	832.5929471
800	832.585635
801	832.576888
802	832.5689055
803	832.5650626
804	832.5573714
805	832.5478197
806	832.5408576
807	832.5310994
808	832.5221429
809	832.5158575
810	832.5095795
811	832.5019667
812	832.4963206
813	832.488235
814	832.4840329
815	832.4745507
816	832.4651857
817	832.4596658
818	832.4536432
819	832.4467333
820	832.4402727
821	832.4313731
822	832.4249242
823	832.4177168
824	832.4088576
825	832.4022701
826	832.3951545
827	832.3871455
828	832.3790237
829	832.3708363
830	832.3620981
831	832.3542276
832	832.3459051
833	832.3373097
834	832.3296902
835	832.3244795
836	832.3177348
837	832.309294
838	832.3021397
839	832.2938182
840	832.2874715
841	832.2805217
842	832.2730984
843	832.265398
844	832.2618231
845	832.2532275
846	832.245678
847	832.2380843
848	832.2312428
849	832.225798
850	832.2202788
851	832.2116835
852	832.2048326
853	832.1975618
854	832.187585
855	832.1825645
856	832.1757888
857	832.1700242
858	832.1615047
859	832.1534972
860	832.1467614
861	832.1396109
862	832.1341438
863	832.1257089
864	832.1205108
865	832.1137129
866	832.1082102
867	832.0983238
868	832.0892061
869	832.0806155
870	832.0608156
871	832.0536192
872	832.046394
873	832.039215
874	832.0328301
875	832.0256982
876	832.0177238
877	832.0107748
878	832.0043662
879	831.998277
880	831.9907695
881	831.9818065
882	831.9727507
883	831.9655157
884	831.9576442
885	831.9506212
886	831.9429316
887	831.9373582
888	831.9321559
889	831.9258104
890	831.9173185
891	831.9100024
892	831.9008872
893	831.8934639
894	831.8856565
895	831.8817109
896	831.8740305
897	831.8677623
898	831.8601535
899	831.8526916
900	831.8434862
901	831.8386538
902	831.8310366
903	831.8232723
904	831.8138058
905	831.80725
906	831.799723
907	831.7917847
908	831.7849738
909	831.7792117
910	831.7726237
911	831.7641107
912	831.7563869
913	831.7388862
914	831.7329816
915	831.7256231
916	831.7208151
917	831.7120197
918	831.7074939
919	831.7011973
920	831.6949795
921	831.6885443
922	831.6794241
923	831.67113
924	831.6665678
925	831.6601679
926	831.6540871
927	831.647518
928	831.6417781
929	831.632988
930	831.627195
931	831.6205797
932	831.6140599
933	831.606567
934	831.6018828
935	831.5955552
936	831.5880042
937	831.581464
938	831.5732969
939	831.568033
940	831.5590398
941	831.5512468
942	831.5446208
943	831.5373524
944	831.5310429
945	831.522609
946	831.5163989
947	831.5097097
948	831.5035881
949	831.4956175
950	831.4875253
951	831.4806219
952	831.473587
953	831.4679155
954	831.4612433
955	831.454352
956	831.4461481
957	831.4414507
958	831.4266516
959	831.4196503
960	831.4057851
961	831.3951944
962	831.3883318
963	831.3827113
964	831.3748129
965	831.36681
966	831.3591882
967	831.3526186
968	831.3454244
969	831.3390783
970	831.3315266
971	831.3241999
972	831.3162906
973	831.3104437
974	831.3052005
975	831.2992684
976	831.2920115
977	831.2825204
978	831.2758855
979	831.2713612
980	831.2648529
981	831.257347
982	831.2503783
983	831.2448875
984	831.2376962
985	831.2307505
986	831.2261496
987	831.2199079
988	831.2142424
989	831.2079202
990	831.1994887
991	831.1919672
992	831.1858346
993	831.1803735
994	831.1739512
995	831.1683919
996	831.1616591
997	831.1553649
998	831.1482128
999	831.1431297
